trial,stimWord,stimColor,condition,leftWord,leftColor,rightWord,rightColor,response,stimImage,leftImage,rightImage
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,31.png,27.png,24.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,17.png,28.png,23.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,25.png,20.png,23.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,23.png,24.png,25.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,17.png,21.png,30.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,21.png,32.png,29.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,27.png,22.png,31.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,23.png,30.png,27.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,25.png,28.png,17.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,19.png,23.png,28.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,23.png,25.png,28.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,21.png,32.png,17.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,17.png,19.png,24.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,31.png,26.png,17.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,17.png,26.png,29.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,23.png,29.png,32.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,29.png,28.png,25.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,27.png,30.png,17.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,31.png,27.png,18.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,29.png,18.png,31.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,23.png,21.png,32.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,23.png,30.png,19.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,17.png,19.png,30.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,29.png,19.png,22.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,29.png,28.png,27.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,21.png,19.png,24.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,21.png,18.png,31.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,31.png,28.png,21.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,31.png,30.png,25.png
,ANGRY,white,angry,HAPPY,white,ANGRY,white,buttonB,26.png,23.png,22.png
,ANGRY,white,angry,HAPPY,white,ANGRY,white,buttonB,28.png,32.png,17.png
,ANGRY,white,angry,HAPPY,white,ANGRY,white,buttonB,24.png,21.png,28.png
,ANGRY,white,angry,HAPPY,white,ANGRY,white,buttonB,18.png,28.png,19.png
